Independent Variable	Fit Peak 1	Fit Peak 2	Fit Peak 3	Fit Peak 4	Fit Peak 5	Fit Peak 6	Fit Peak 7	Fit Peak 8	Fit Peak 9	Fit Peak 10	Fit Peak 11	Fit Peak 12	Cumulative Fit Peak	Independent Variable	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Fitted Y	Regular Residual F"Smoothed Y2"	Regular Residual F"Smoothed Y2"	Percentiles	Reference X	Reference Line
																					mu = -0.027843	sigma = 188.204693
376.47316240267	-115.554763434041	-115.554763100873	-115.359992034291	-113.547220178984	-113.71276332245	-114.263885831035	-114.848421358136	-115.432709377519	-115.408245921812	-115.554763434041	-115.554763434041	-115.554763434041	-109.244657086816	353.757	134.510345557012	134.510345557012	-109.857618284285	134.510345557012	-645.981590781666	1.14095799355856		
377.241020022247	-115.554763434041	-115.554763099547	-115.35924452036	-113.539821674301	-113.706201808747	-114.259365185799	-114.846080410706	-115.432316302281	-115.407782641879	-115.554763434041	-115.554763434041	-115.554763434041	-109.222231605336	353.971	126.38069829936	126.38069829936	-109.852268547294	126.38069829936	-619.183131516213	1.16836839580621		
378.008877641824	-115.554763434041	-115.554763098213	-115.358492694478	-113.532382196294	-113.699605169958	-114.25482073119	-114.843727796604	-115.431921324024	-115.407317160493	-115.554763434041	-115.554763434041	-115.554763434041	-109.199686132969	354.184	119.063465235583	119.063465235583	-109.846936309963	119.063465235583	-614.960405221995	1.19577879805386		
378.776735261402	-115.554763434041	-115.554763096871	-115.357736523415	-113.524901441862	-113.692973154906	-114.250252299568	-114.84136343811	-115.431524430434	-115.40684946368	-115.554763434041	-115.554763434041	-115.554763434041	-109.177019810561	354.398	107.142563225685	107.142563225685	-109.841571490148	107.142563225685	-604.315760119847	1.22318920030151		
379.544592880979	-115.554763434041	-115.55476309552	-115.35697597362	-113.517379105099	-113.686305510165	-114.245659721811	-114.838987256854	-115.431125609101	-115.406379537355	-115.554763434041	-115.554763434041	-115.554763434041	-109.154231771241	354.611	99.4698605758524	99.4698605758524	-109.836224212216	99.4698605758524	-600.897517340185	1.25059960254917		
380.312450500556	-115.554763434041	-115.554763094162	-115.356211011217	-113.509814877257	-113.679601980035	-114.241042827304	-114.836599173814	-115.430724847513	-115.40590736732	-115.554763434041	-115.554763434041	-115.554763434041	-109.131321140339	354.825	90.8155549965306	90.8155549965306	-109.830844252729	90.8155549965306	-596.047742372179	1.27801000479682		
381.080308120133	-115.554763434041	-115.554763092795	-115.355441602002	-113.50220844672	-113.672862306521	-114.236401443923	-114.834199109302	-115.430322133057	-115.405432939264	-115.554763434041	-115.554763434041	-115.554763434041	-109.1082870353	355.038	82.6860603898774	82.6860603898774	-109.825481877481	82.6860603898774	-593.437296989257	1.30542040704447		
381.848165739711	-115.554763434041	-115.554763091421	-115.354667711438	-113.494559498967	-113.6660862293	-114.231735398013	-114.831786982965	-115.429917453016	-115.404956238761	-115.554763434041	-115.554763434041	-115.554763434041	-109.085128565597	355.252	76.0797561426937	76.0797561426937	-109.820086721206	76.0797561426937	-588.627903192595	1.33283080929213		
382.616023359288	-115.554763434041	-115.554763090037	-115.353889304654	-113.486867716542	-113.659273485706	-114.227044514378	-114.829362713772	-115.429510794569	-115.404477251272	-115.554763434041	-115.554763434041	-115.554763434041	-109.061844832646	355.465	71.3860315057085	71.3860315057085	-109.814709191659	71.3860315057085	-587.886106813225	1.36024121153978		
383.383880978865	-115.554763434041	-115.554763088646	-115.353106346437	-113.479132779022	-113.652423810695	-114.222328616262	-114.826926220012	-115.429102144793	-115.403995962138	-115.554763434041	-115.554763434041	-115.554763434041	-109.03843492972	355.679	68.7235136572447	68.7235136572447	-109.809298781212	68.7235136572447	-583.087761905016	1.38765161378743		
