				Smoothed Y1	Smoothed Y2
			          	10 pts AAv smooth of B	10 pts AAv smooth of "Smoothed Y1"
370.173	-4002.24	370.173	-2809.47	-173.254545454546	-174.286446280992
370.386	-3862.98	370.386	-2653.83	-186.472727272727	-174.557438016529
370.599	2721.24	370.599	2572.59	-181.260909090909	-154.230330578512
370.812	-518.65	370.812	-542.37	-182.75	-133.327768595041
371.025	-782.84	371.025	-820.89	-182.75	-112.577520661157
371.237	251.39	371.237	207.19	-172.137272727273	-93.2995867768595
371.45	273.92	371.45	293.2	-69.9254545454546	-72.9891735537191
371.663	740.85	371.663	579.92	35.6372727272727	-51.1894214876033
371.876	-592.37	371.876	-655.01	35.4509090909091	-30.7435537190083
372.088	4861.37	372.088	4940.04	19.4390909090909	-21.6715702479339
372.301	-788.98	372.301	-917.15	31.7281818181818	-21.620826446281
372.514	-1585.64	372.514	-1517.2	50.16	-22.9580165289256
372.726	521.72	372.726	569.68	53.3245454545455	-32.080826446281
372.939	-307.71	372.939	-454.31	43.6436363636364	-50.7663636363636
373.152	-571.9	373.152	-419.49	-82.9581818181818	-68.7241322314049
373.364	1009.14	373.364	835.91	-182.191818181818	-83.4490909090909
373.577	3538.38	373.577	3291.43	-186.846363636364	-100.306859504132
373.79	-582.14	373.79	-597.67	-170.276363636364	-126.202727272727
374.002	-907.76	374.002	-962.2	-169.903636363636	-153.367933884297
374.215	-4176.32	374.215	-2846.34	-162.084545454545	-179.500661157025
374.428	-3037.65	374.428	-1867.41	-142.535454545454	-183.427355371901
374.64	1574.38	374.64	1497.41	-153.707272727273	-168.566859504132
374.853	-922.1	374.853	-1035.93	-234.694545454545	-159.020909090909
375.065	-565.75	375.065	-521.89	-245.492727272727	-151.489090909091
375.278	3665.35	375.278	3432.74	-243.816363636364	-145.023636363636
375.491	73.21	375.491	10.58	-126.151818181818	-142.975619834711
375.703	1506.79	375.703	1456.45	-18.7263636363636	-141.824628099174
375.916	-2742.74	375.916	-2098.83	-81.8409090909091	-139.607190082645
376.128	-717.3	376.128	-614.05	-87.4263636363636	-123.849504132231
376.341	-1622.5	376.341	-1695.38	-98.7836363636363	-106.585454545454
376.553	865.78	376.553	901.45	-139.556363636364	-90.7433057851239
376.766	-1389.03	376.766	-1400.47	-129.874545454545	-84.4131404958677
376.978	-2413.02	376.978	-1795.73	-129.315454545454	-87.3242975206611
377.191	843.25	377.191	790.86	-61.36	-79.7079338842975
377.403	-1921.51	377.403	-1752.72	-55.5881818181818	-74.9010743801652
377.616	2903.51	377.616	3119.4	-69.5527272727272	-67.7585123966942
377.828	4150.72	377.828	3981.59	-56.52	-53.9134710743801
378.04	-1348.08	378.04	-1404.57	-50.7490909090909	-42.6073553719008
378.253	-532.98	378.253	-636.58	1.93909090909094	-31.1151239669421
378.465	411.13	378.465	450.89	-34.5509090909091	-27.9163636363636
378.678	1031.66	378.678	1112.39	-20.2154545454545	-25.2084297520661
378.89	-1149.42	378.89	-1257.11	12.7390909090909	-20.9094214876033
379.103	-844.28	379.103	-919.2	-5.50727272727274	-19.2169421487603
379.315	380.41	379.315	418.13	-2.9009090909091	-19.6739669421487
379.527	-2085.34	379.527	-1736.34	-26.1736363636364	-23.7022314049586
379.74	-479.74	379.74	-468.64	-25.8009090909091	-21.5021487603305
379.952	-199.16	379.952	-345.77	-22.2636363636364	-19.4373553719008
380.164	-1497.58	380.164	-1466	-37.9027272727273	-23.9736363636363
380.377	2067.94	380.377	1982.78	-55.7763636363636	-24.9893388429752
380.589	-49.66	380.589	102.74	-42.3718181818182	-26.5466115702479
380.801	62.98	380.801	98.64	-10.35	-24.5495041322314
381.014	1596.9	381.014	1638.72	2.49727272727276	-20.5044628099173
381.226	1013.23	381.226	1077.57	-37.16	-27.4777685950413
381.438	-115.2	381.438	6.49	-16.68	-31.5399173553718
381.65	-1376.75	381.65	-1486.48	-20.0309090909091	-33.2831404958677
381.863	79.36	381.863	76.12	-4.20545454545453	-37.345041322314
382.075	-971.25	382.075	-1101.47	18.6945454545455	-45.7735537190082
382.287	-2554.33	382.287	-2264.71	-98.9699999999999	-54.6084297520661
382.499	-819.7	382.499	-1013.4	-82.5863636363636	-58.280909090909
382.712	-84.48	382.712	-132.78	-74.9518181818181	-64.6614049586776
382.924	112.13	382.924	90.45	-87.0527272727272	-70.754214876033
383.136	-874.99	383.136	-1091.23	-103.063636363636	-78.4549586776859
383.348	-4270.53	383.348	-2934.4	-94.6863636363636	-89.5577685950413
383.56	28.16	383.56	-87.72	-77.5572727272727	-78.9792561983471
383.772	-1018.35	383.772	-980.64	-86.8654545454545	-69.6193388429752
383.985	159.23	383.985	182.61	-87.0518181818181	-59.5148760330578
384.197	1279.47	384.197	1452.35	-88.9136363636363	-58.2794214876033
384.409	-487.93	384.409	-710.3	-103.436363636364	-53.5404958677686
384.621	501.24	384.621	602.44	17.3936363636364	-62.392561983471
384.833	69.12	384.833	-22.19	20.3727272727273	-77.1177685950413
385.045	93.69	385.045	47.44	36.1972727272728	-92.8754545454545
385.257	-1339.88	385.257	-1341.08	-73.4627272727273	-107.380578512397
385.469	-475.64	385.469	-532.13	-50.9354545454546	-120.497851239669
385.681	210.43	385.681	217.43	-192.059090909091	-143.296363636364
385.893	50.69	385.893	-97.96	-239.534545454545	-177.519421487603
386.105	-1026.54	386.105	-1162.9	-260.2	-212.554958677686
386.318	-3856.84	386.318	-2627.2	-246.608181818182	-256.171570247934
386.53	-397.82	386.53	-472.74	-233.203636363636	-280.408595041322
386.742	-4311.49	386.742	-2981.5	-354.22	-308.419917355372
386.954	-2871.76	386.954	-2248.33	-359.06	-311.906280991736
387.166	2915.8	387.166	3051.81	-365.018181818182	-305.28826446281
387.378	263.68	387.378	67.92	-443.585454545455	-295.776115702479
387.589	138.75	387.589	-9.9	-340.07	-288.921404958678
387.801	-4221.38	387.801	-2946.69	-359.06	-284.876280991735
388.013	-1602.02	388.013	-1541.78	-230.409090909091	-257.88041322314
388.225	-1163.76	388.225	-1246.87	-166.736363636364	-230.021487603306
388.437	-2843.09	388.437	-2115.21	-155.566363636364	-202.196363636364
388.649	-1941.99	388.649	-1851.02	-171.206363636364	-160.915619834711
388.861	2434.52	388.861	2568.49	-188.707272727273	-126.591157024793
389.073	1222.13	389.073	1136.96	-57.2654545454545	-88.9494214876033
389.285	-614.9	389.285	-691.87	-52.6118181818182	-62.241652892562
389.497	742.9	389.497	756.04	-58.9418181818181	-40.8822314049587
389.709	1498.6	389.709	1474.88	10.5027272727273	-18.7780165289256
389.92	-1186.29	389.92	-1142.43	37.499090909091	4.27413223140494
390.132	-862.71	390.132	-1033.88	54.9990909090909	28.9003305785124
390.344	-793.08	390.344	-784.03	63.3763636363637	39.6139669421488
390.556	-680.44	390.556	-693.92	68.2172727272728	44.2346280991735
390.768	386.55	390.768	350.54	87.58	49.4138842975207
390.98	-893.43	390.98	-1099.42	82.3672727272728	36.5168595041322
391.191	1818.08	391.191	1759.55	82.1809090909091	19.8285123966942
391.403	747	391.403	569.68	60.5845454545455	1.36314049586777
391.615	310.78	391.615	180.56	-1.78454545454541	-18.540826446281
391.827	-1108.46	391.827	-1308.31	-1.96999999999994	-39.1049586776859
392.038	-893.43	392.038	-859.81	-131.364545454545	-62.9864462809917
392.25	-328.19	392.25	-282.28	-146.072727272727	-84.1090909090909
392.462	-2318.81	392.462	-2252.42	-148.12	-104.656280991736
392.674	-2662.87	392.674	-1967.76	-155.567272727273	-120.853719008264
392.885	-1530.34	392.885	-1541.78	-157.988181818182	-127.962314049587
393.097	-3860.93	393.097	-2473.6	-175.116363636364	-147.054214876033
393.309	-731.64	393.309	-775.84	-149.981818181818	-142.687520661157
393.52	1191.41	393.52	1155.4	-143.838181818182	-135.494214876033
393.732	-1585.64	393.732	-1681.04	-117.587272727273	-132.024628099174
393.944	552.44	393.944	448.85	-79.9790909090909	-128.978181818182
394.155	474.62	394.155	463.18	-211.980909090909	-126.81173553719
394.367	-1280.49	394.367	-1523.35	-83.3309090909091	-123.545289256198
394.579	568.82	394.579	547.15	-66.9463636363636	-124.747190082645
394.79	-1034.74	394.79	-1257.11	-109.954545454545	-125.830578512397
395.002	-129.53	395.002	151.89	-122.056363636364	-129.791239669421
395.213	-4127.17	395.213	-2686.59	-134.157272727273	-134.81826446281
395.425	-354.81	395.425	-382.63	-139.185454545454	-113.441652892562
